Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2021,32550,"City of Denver, CO",Denver,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Denver conducts a Basic+ Inventory every five years (2015, 2020, etc) with a Basic inventory in each interim year.  Consumption metrics are also collected annually.","CH4, CO2, N20",,4798598,,3456616,,841157,,,,,,Decreased,Technological change,401,727211,2019,POINT (-104.985 39.7376),10/04/2021 09:23:47 AM
2021,59537,"City of Denton, TX",Denton,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Since 2006, the City has utilized software developed and endorsed by ICLEI Local Governments for Sustainability (ICLEI) and partners including the National Association of Clean Air Agencies (NACAA) and the U.S. Environmental Protection Agency (USEPA).  The software has been updated over time to reflect current scientific understanding and to remain consistent with the latest inventory protocols. Since 2011, the City has used ICLEI’s web-based ClearPath software, which allows for efficient protocol updates, technical support, and improved forecasting and planning strategies. Data pertaining to energy use, fuel consumption, and waste is gathered from City departments, community agencies, and service providers and entered into the software to generate GHG inventories for both municipal operations and for the community as a whole. The software uses the latest methods and emissions factors to translate this data into equivalent CO2 emissions.","CH4, CO2, N20",,,,,,,974594,286649,16049,,,Decreased,"Other, please specify: Increased Renewable Energy",251.23,147993,2020,POINT (-97.1331 33.2148),10/04/2021 09:23:47 AM
2021,14344,"City of Park City, UT",Park City,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Per the GPC protocol, BASIC+ emission scopes are defined as follows. The following GPC items are applicable to Park City.Scope 1: GHG emissions from sources located within the city boundary, including:• energy and transportation fuel combustion;• fugitive emissions;• industrial processes and product use inside the city; and• agriculture, forestry, and land use inside the city.Scope 2: GHG emissions occurring as a consequence of the use of grid-supplied electricity, heat, steam and/or cooling within the city boundary.Scope 3: GHG emissions that occur outside the city boundary as a result of activities taking placewithin the city boundary, including:• transmission and distribution losses;• solid waste treated outside the city;• wastewater treated outside the city;• transportation activities for which fuel combustion occurs outside the city, including visitor air travel.GHG emissions that are not required to be reported per the GPC protocol but may help cities better understand all of their GHG emission activities were also calculated and include key consumption based emissions.Non-GPC Scope 3 (Consumption-Based): For Park City, non-GPC Scope 3 emissions were calculated for the following consumption-based activities:• potable water use;• well-to-pump fuel production;• cement use; and• food purchases.Consumption from agriculture, forestry, and fishing electricity activities is included with commercial natural gas use.GPC Emissions that were not applicable to Park City:Scope 2• solid waste treated within the city;• wastewater treated within the city;Scope 3• energy use for which stationary fuel combustion occurs outside the city","CH4, CO2, HFCs, N20, NF3, PFCs, SF6",0,160849,0,176857,0,207142,,,,,,Decreased,Change in accounting methodology,45.5,8580,2020,POINT (-111.498 40.6461),10/04/2021 09:23:47 AM
2021,58871,"City of Salem, MA",Salem,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,CO2,,,,,,,,,,,,This is our first year of calculation,,8,43559,2018,POINT (-70.8967 42.5195),10/04/2021 09:23:47 AM
2021,63941,"Broward County, FL",Broward,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,Province / County,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,11962713.81,6373484.64,9586389,,,Increased,Change in available data,1108,1966120,2021,POINT (80.3659 26.1901),10/04/2021 09:23:47 AM
2021,73530,"Town of Lexington, MA","Lexington, MA",United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,We developed our own protocol for determining GHG emissions. We are hoping to convert to an industry standard methodology.,"CH4, CO2, N20",,287962,,128676,,7443,,,,,,Decreased,Behavioural change,42.8,31394,2010,POINT (-71.2269 42.4443),10/04/2021 09:23:47 AM
2021,58591,"City of Greenbelt, MD",,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,Local government area within a greater city / metropolitan area,Smaller – covers only part of the city,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Used Clear Path for 2018 emissions. Had been using CACP for previous years.,CO2,,,,,,,,,,,,Decreased,Technological change,16146.24,23000,2010,,10/04/2021 09:23:47 AM
2021,863407,"Town of Durham, NH",,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,49763,,10491,,1194,,,,,,This is our first year of calculation,,64.2,16293,2019,,10/04/2021 09:23:47 AM
2021,35268,"City of Boston, MA",Boston,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.","CH4, CO2, N20",,4103893,,2088568,,,,,,,,Decreased,"Other, please specify",231.14,694295,2019,POINT (-71.0598 42.3584),10/04/2021 09:23:47 AM
2021,59124,"City of Natchez, MS",Natchez,United States of America,North America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,16.41,15000,2020,POINT (-91.4032 31.5604),10/04/2021 09:23:47 AM
2021,16581,"City of Seattle, WA",Seattle,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Complies with both ICLEI and GPC,"CH4, CO2, SF6",,,,,,,,,,,,Decreased,Policy change,217,744955,2018,POINT (-122.332 47.6062),10/04/2021 09:23:47 AM
2021,50549,"City of Fort Worth, TX",Fort Worth,United States of America,North America,public,In progress,-,City / Municipality,Partial – covers part of the city and adjoining ar,,,,,,,,,,,,,,,,,1057,927720,2020,POINT (-97.3308 32.7555),10/04/2021 09:23:47 AM
2021,74563,"Town of Guilford, VT",,United States of America,North America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,103.5,2121,2010,,10/04/2021 09:23:47 AM
2021,74418,"Town of Breckenridge, CO",Breckenridge,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2",,,,,,,,,,,,This is our first year of calculation,,14.2,5020,2018,POINT (106.038 39.4817),10/04/2021 09:23:47 AM
2021,50560,"City of Oakland, CA",Oakland,United States of America,North America,public,In progress,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),The City of Oakland uses SEEC-ClearPath California to help manage its GHG emissions.,"CH4, CO2, N20",,,,,,,,,,,,,,144,440981,2021,POINT (-122.271 37.8044),10/04/2021 09:23:47 AM
2021,50541,"City of Greensboro, NC",Greensboro,United States of America,North America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,351.3,296710,2019,POINT (-79.792 36.0726),10/04/2021 09:23:47 AM
2021,43910,"City of Columbus, OH",Columbus,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Basic Reporting.,"CH4, CO2, N20",,4543059,,3939930,,880339,,,,,,Decreased,"Other, please specify: Emissions from 2020 decreased as a result of a lower emissions rate for electricity generated (eGRID), as well as lower consumption of energy in the majority of categories.",606.057,922223,2020,POINT (-82.9988 39.9612),10/04/2021 09:23:47 AM
2021,59708,"City of Bethlehem, PA",,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,CO2,,,,,,,,,,,,,,50,75000,2010,,10/04/2021 09:23:47 AM
2021,74539,"City of Oberlin, OH",,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,61992,11869,1758,,,Increased,Change in accounting methodology,12.85,8299,2018,,10/04/2021 09:23:47 AM
2021,50566,"City of Anchorage, AK",Anchorage,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,5178548,,,,,,,,,,This is our first year of calculation,,4415.1,295365,2018,POINT (-149.9 61.2181),10/04/2021 09:23:47 AM
2021,59550,"City of Bend, OR",,United States of America,North America,public,Yes,2015-07-01 - 2016-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20, NF3, SF6",,,,,,,,,,,,This is our first year of calculation,,,100000,2020,,10/04/2021 09:23:47 AM
2021,31177,"Salt Lake City, UT",Salt Lake City,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,,,,,,Stayed the same,Emissions have not changed,285.93469,200591,2018,POINT (-111.891 40.7608),10/04/2021 09:23:47 AM
2021,37241,"City of Berkeley, CA",Berkeley,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Smaller – covers only part of the city,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,489749.57,,23726.72,,16814.04,,,,,,Decreased,"Other, please specify: More residential and commercial energy customers transferred to our local CCA (East Bay Community Energy) in 2019 and the electricity emissions factor for the regional energy provider (PG&E) dropped to near 0 emissions.",27.117176,121363,2019,,10/04/2021 09:23:47 AM
2021,74558,"Summit County, UT",,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,Province / County,Larger – covers the whole city and adjoining areas,"Other, please specify","Inventory was based on  variety of guidance documents that included ICLEI's U.S. Community Protocol, The Climate Registry (TCR), and the US Environmental Protection Agency.","CH4, CO2, N20",,,,,,,1018578,439966,268277,,,Increased,,4874,42145,2019,,10/04/2021 09:23:47 AM
2021,49339,"City and County of Honolulu, HI",Honolulu,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The City worked with ICLEI to apply the GPC Protocol and utilized ClearPath and other tools to develop its first GHG Inventory for 2005, 2015, 2016. The City has updated the inventory on an annual basis since 2017, with 2019 being most recent inventory. The GHG inventory has been used as the basis of drafting and developing Oahu's climate action plan, and has been further validated and vetted by the University of Hawaii's Institute of Sustainability and Resilience. We have made some edits and re-stated some inventory figures based on this feedback.","CH4, CO2, N20",,,,,,,,,,,,Increased,Increased energy/electricity consumption,1545,1040171,2019,POINT (157.59 21.28),10/04/2021 09:23:47 AM
2021,74488,"City of Beverly, MA",,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"Also uses Local Government Operation Protocol (LGOP) (California Air Resources Board [CARB], 2010","CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,Lack of resource / funding overcome,38.8,42174,2019,,10/04/2021 09:23:47 AM
2021,52894,"City of Winston-Salem, NC",Winston-Salem,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Staff utilized the EP Local GHG Inventory Tool: Community Module for calculations.,"CH4, CO2, N20",,,,,,,,,,,,This is our first year of calculation,Lack of knowledge overcome,343.04,247945,2019,POINT (-80.2442 36.0999),10/04/2021 09:23:47 AM
2021,57616,"City of Lake Forest, IL",Lake Forest,United States of America,North America,public,Yes,2007-01-01 - 2007-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: Local Government Operations Protocol (LGOP)","The Local Government Operations Protocol (LGOP) is a tool for accounting and reporting GHG emissions across a local government’soperations. Reductions in emissions are calculated by comparing changes in a local government’semissions over time. By tracking emissions over time, local governments should be able to measure theGHG reduction benefits from policies and programs put in place to reduce emissions within theiroperations. https://s3.amazonaws.com/icleiusaresources/lgo_protocol_v1_1_2010-05-03.pdf","CH4, CO2, N20",,,,,,,120709.2,210436.37,71218.43,,,Do not know,Lack of documentation,44.65,19446,2020,POINT (-87.8406 42.2586),10/04/2021 09:23:47 AM
2021,59653,"City of Manhattan Beach, CA",Manhattan Beach,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,246824.99,,,,,,,,,,Decreased,"Other, please specify: Energy Efficiency",10.2,35183,2019,POINT (-118.405 33.8889),10/04/2021 09:23:47 AM
2021,50544,"City of Aurora, IL",Aurora,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,City / Municipality,Smaller – covers only part of the city,,,,,,,,,,,,,,,,,119.00995,196300,2020,POINT (41.7606 88.3201),10/04/2021 09:23:47 AM
2021,862924,"Leon Valley, TX",,United States of America,North America,public,In progress,-,City / Municipality,Larger – covers the whole city and adjoining areas,Regional or country specific methodology,,CO2,,,,,,,,,,,,,,3.5,11000,2010,,10/04/2021 09:23:47 AM
2021,59552,"City of Davis, CA","Davis, CA",United States of America,North America,public,Yes,2015-04-01 - 2016-04-01,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,"CH4, CO2, N20",,,,,,,,,,,,,,25.7,69289,2018,POINT (-121.741 38.5449),10/04/2021 09:23:47 AM
2021,50401,"City of Madison, WI",Madison,United States of America,North America,public,In progress,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,City specific methodology,"A Madison Community Operations Carbon Inventory was previously completed in 2010 and 2012. The City of Madison is in the process of updating its community-wide emissions inventory for a more recent emissions figure.Previous inventories have been completed by the University of Wisconsin-Madison Robert M. La Follette School of Public Affairs as part of a consulting project for the City of Madison. However, moving forward, the City of Madison will intend to complete its inventory internally.","CH4, CO2, N20",,,,,,,,,,,,,,198.89,258054,2018,POINT (-89.3818 43.0728),10/04/2021 09:23:47 AM
2021,36410,"City of Memphis, TN",Memphis,United States of America,North America,public,In progress,2016-01-01 - 2016-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,,,841.75,651073,2019,POINT (-90.049 35.1495),10/04/2021 09:23:47 AM
2021,49346,"City of Allentown, PA",Allentown,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),The inventory was conducted with assistance from PA DEP and ICLEI,"CH4, CO2, N20",,,,,,,,,,,,,,17.55,121433,2018,,10/04/2021 09:23:47 AM
2021,49172,"City of St. Petersburg, FL",St. Petersburg,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,"CH4, CO2, N20",,,,,,,,,,,,Do not know,Lack of documentation,356,270000,2021,,10/04/2021 09:23:47 AM
2021,74401,"City of Encinitas, CA",Encinitas,United States of America,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Regional or country specific methodology,The California Adaptation Planning Guide (APG),"CH4, CO2, HFCs, N20, PFCs",,,,,,,435710,,48063,,,Decreased,"Other, please specify: Combination of factors",51,63375,2018,POINT (-117.293 33.0454),10/04/2021 09:23:47 AM
2021,74453,"City of Highland Park, IL",,United States of America,North America,public,Yes,2020-01-01 - 2020-12-31,Local government area within a greater city / metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The data management format of this protocol is straightforward and accessible and works efficiently with the essential software available to our team.  Our emissions data comes from multiple sources (internal records, local utilities, contracted waste hauler, etc.). Our team includes volunteer residents, staff, and consultants, so using Excel as the data entry and analysis tool is very important.   Our city does not have any Scope 1 emissions other than transportation. Therefore we do not require a complex GHG calculation methodology.","CH4, CO2, N20, NF3, SF6",0,36822,0,276903,0,0,,,,,,Stayed the same,Emissions have not changed,31.73,29515,2020,,10/04/2021 09:23:47 AM
2021,834373,"Town of York, ME",,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Inventory created during Climate Action Plan planning process by outside consultant and uploaded to ICLEI Clearpath.,"CH4, CO2, N20",,392906,,25934,,,,,,,,Increased,Improved data accuracy,141.5946,13151,2018,,10/04/2021 09:23:47 AM
2021,54124,"City of Fremont, CA",Fremont,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),N/A,"CH4, CO2, N20",0,1043169.13,0,87996.13,0,57264.73,,,,,,Decreased,Technological change,226,234237,2017,POINT (-121.989 37.5483),10/04/2021 09:23:47 AM
2021,63562,"City of South Bend, IN",South Bend,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The GPC Protocol-based city-wide GHG emissions inventory was  completed with ICLEI's ClearPath software.,"CH4, CO2, N20",,875973.55,,645857.64,,88766.46,,,,,,Increased,Change in available data,107.38,102026,2019,POINT (41.6754 -86.2532),10/04/2021 09:23:47 AM
2021,863412,"City of Tumwater, WA",,United States of America,North America,public,Not intending to undertake,,City / Municipality,,,,,,,,,,,,,,,,,,37.53,25360,2021,,10/04/2021 09:23:47 AM
2021,55419,"City of Miramar, FL",Miramar,United States of America,North America,public,Yes,2014-01-01 - 2014-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2,,,,,,,,,,,,This is our first year of calculation,,80.3,141191,2019,POINT (-80.3036 25.9861),10/04/2021 09:23:47 AM
2021,50400,"City of Newark, NJ",Newark,United States of America,North America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,CO2,,,,,,,,,,,,Decreased,Behavioural change,62.53,282529,2021,,10/04/2021 09:23:47 AM
2021,848567,Mid-America Regional Council,,United States of America,North America,public,Yes,2015-01-01 - 2015-12-31,Metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Data is formatted to GPC for use in CURB modeling.,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,15976691,,13348477,,627188,,,,,,This is our first year of calculation,"Other, please specify: 2015 is the year of the region's first actual inventory.",7874.52,2137829,2015,,10/04/2021 09:23:47 AM
