city_state_code,city,state,county
"Council Bluffs, IA",Council Bluffs,Iowa,Pottawattamie
"Davenport, IA",Davenport,Iowa,Scott
"Des Moines, IA",Des Moines,Iowa,Polk
"Dubuque, IA",Dubuque,Iowa,Dubuque
"Iowa City, IA",Iowa City,Iowa,Johnson
"Sioux City, IA",Sioux City,Iowa,Woodbury
"Waterloo, IA",Waterloo,Iowa,Black Hawk
"West Des Moines, IA",West Des Moines,Iowa,Polk
"Kansas City, KS",Kansas City,Kansas,Wyandotte
"Lawrence, KS",Lawrence,Kansas,Douglas County
"Lenexa, KS",Lenexa,Kansas,Johnson
"Manhattan, KS",Manhattan,Kansas,Riley County
"Olathe, KS",Olathe,Kansas,Johnson
"Overland Park, KS",Overland Park,Kansas,Johnson
"Shawnee, KS",Shawnee,Kansas,Johnson
"Topeka, KS",Topeka,Kansas,Shawnee
"Wichita, KS",Wichita,Kansas,Sedgwick
"Bowling Green, KY",Bowling Green,Kentucky,Warren County
"Owensboro, KY",Owensboro,Kentucky,Daviess
"Baton Rouge, LA",Baton Rouge,Louisiana,East Baton Rouge Parish
"Bossier City, LA",Bossier City,Louisiana,Bossier Parish
"Kenner, LA",Kenner,Louisiana,Jefferson Parish
"Lafayette, LA",Lafayette,Louisiana,Lafayette Parish
"Lake Charles, LA",Lake Charles,Louisiana,Calcasieu Parish
"New Orleans, LA",New Orleans,Louisiana,#FIELD!
"Shreveport, LA",Shreveport,Louisiana,Caddo Parish
"Portland, ME",Portland,Maine,Cumberland
"Baltimore, MD",Baltimore,Maryland,Baltimore
"Bowie, MD",Bowie,Maryland,Prince George's County
"Frederick, MD",Frederick,Maryland,Frederick
"Gaithersburg, MD",Gaithersburg,Maryland,Montgomery
"Rockville, MD",Rockville,Maryland,Montgomery
"Boston, MA",Boston,Massachusetts,Suffolk County
"Brockton, MA",Brockton,Massachusetts,Plymouth
"Cambridge, MA",Cambridge,Massachusetts,Middlesex
"Chicopee, MA",Chicopee,Massachusetts,Hampden County
"Fall River, MA",Fall River,Massachusetts,Bristol
"Framingham, MA",Framingham,Massachusetts,Middlesex
"Haverhill, MA",Haverhill,Massachusetts,Essex
"Lawrence, MA",Lawrence,Massachusetts,Essex
"Lowell, MA",Lowell,Massachusetts,Middlesex
"Lynn, MA",Lynn,Massachusetts,Essex
"Malden, MA",Malden,Massachusetts,Middlesex
"Medford, MA",Medford,Massachusetts,Middlesex
"Methuen Town, MA","Methuen Town, MA",#FIELD!,#FIELD!
"New Bedford, MA",New Bedford,Massachusetts,Bristol
"Newton, MA",Newton,Massachusetts,Middlesex
"Peabody, MA",Peabody,Massachusetts,Essex
"Quincy, MA",Quincy,Massachusetts,Norfolk
"Revere, MA",Revere,Massachusetts,Suffolk County
"Somerville, MA",Somerville,Massachusetts,Middlesex
"Springfield, MA",Springfield,Massachusetts,Hampden County
"Taunton, MA",Taunton,Massachusetts,Bristol
"Waltham, MA",Waltham,Massachusetts,Middlesex
"Weymouth Town, MA",Weymouth,Massachusetts,Norfolk
"Worcester, MA",Worcester,Massachusetts,Worcester
"Ann Arbor, MI",Ann Arbor,Michigan,Washtenaw
"Battle Creek, MI",Battle Creek,Michigan,Calhoun
"Dearborn, MI",Dearborn,Michigan,Wayne
"Dearborn Heights, MI",Dearborn Heights,Michigan,Wayne
"Detroit, MI",Detroit,Michigan,Wayne
"Farmington Hills, MI",Farmington Hills,Michigan,Oakland
"Flint, MI",Flint,Michigan,Genesee
"Grand Rapids, MI",Grand Rapids,Michigan,Kent
"Kalamazoo, MI",Kalamazoo,Michigan,Kalamazoo County
"Kentwood, MI",Kentwood,Michigan,Kent
"Lansing, MI",Lansing,Michigan,Ingham
"Livonia, MI",Livonia,Michigan,Wayne
"Novi, MI",Novi,Michigan,Oakland
"Pontiac, MI",Pontiac,Michigan,Oakland
"Rochester Hills, MI",Rochester Hills,Michigan,Oakland
"Royal Oak, MI",Royal Oak,Michigan,Oakland
"St. Clair Shores, MI",St. Clair Shores,Michigan,Macomb
"Southfield, MI",Southfield,Michigan,Oakland
"Sterling Heights, MI",Sterling Heights,Michigan,Macomb
"Taylor, MI",Taylor,Michigan,Wayne
"Troy, MI",Troy,Michigan,Oakland
"Warren, MI",Warren,Michigan,Macomb
"Westland, MI",Westland,Michigan,Wayne
"Wyoming, MI",Wyoming,Michigan,Kent
"Apple Valley, MN",Apple Valley,Minnesota,Dakota
"Blaine, MN",Blaine,Minnesota,Anoka
"Bloomington, MN",Bloomington,Minnesota,Hennepin
"Brooklyn Park, MN",Brooklyn Park,Minnesota,Hennepin
"Burnsville, MN",Burnsville,Minnesota,Dakota
"Coon Rapids, MN",Coon Rapids,Minnesota,Anoka
"Duluth, MN",Duluth,Minnesota,St. Louis County
"Eagan, MN",Eagan,Minnesota,Dakota
"Eden Prairie, MN",Eden Prairie,Minnesota,Hennepin
"Edina, MN",Edina,Minnesota,Hennepin
"Lakeville, MN",Lakeville,Minnesota,Dakota
"Maple Grove, MN",Maple Grove,Minnesota,Hennepin
"Minneapolis, MN",Minneapolis,Minnesota,Hennepin
"Minnetonka, MN",Minnetonka,Minnesota,Hennepin
"Plymouth, MN",Plymouth,Minnesota,Hennepin
"Rochester, MN",Rochester,Minnesota,Olmsted County
"St. Cloud, MN",St. Cloud,Minnesota,Stearns
"St. Paul, MN",Saint Paul,Minnesota,Ramsey
"Woodbury, MN",Woodbury,Minnesota,Washington County
"Gulfport, MS",Gulfport,Mississippi,Harrison
"Jackson, MS",Jackson,Mississippi,Madison
"Southaven, MS",Southaven,Mississippi,DeSoto
"Blue Springs, MO",Blue Springs,Missouri,Jackson
"Columbia, MO",Columbia,Missouri,Boone
"Florissant, MO",Florissant,Missouri,St. Louis
"Independence, MO",Independence,Missouri,Jackson
"Joplin, MO",Joplin,Missouri,Jasper
"Kansas City, MO",Kansas City,Missouri,Jackson
"Lee's Summit, MO",Lee's Summit,Missouri,Jackson
"O'Fallon, MO",O'Fallon,Missouri,St. Clair
"St. Charles, MO",St. Charles,Missouri,St. Charles
"St. Joseph, MO",Saint Joseph,Missouri,Buchanan
"St. Louis, MO",St. Louis,Missouri,#FIELD!
"St. Peters, MO",St. Peters,Missouri,St. Charles
"Springfield, MO",Springfield,Missouri,Greene
"Billings, MT",Billings,Montana,Yellowstone
"Bozeman, MT",Bozeman,Montana,Gallatin
"Great Falls, MT",Great Falls,Montana,Cascade
"Missoula, MT",Missoula,Montana,Missoula
"Bellevue, NE",Bellevue,Nebraska,Sarpy
"Grand Island, NE",Grand Island,Nebraska,Hall County
"Lincoln, NE",Lincoln,Nebraska,Lancaster
"Omaha, NE",Omaha,Nebraska,Douglas County
"Carson City, NV",Carson City,Nevada,#FIELD!
"Henderson, NV",Henderson,Nevada,Clark
"Las Vegas, NV",Las Vegas,Nevada,Clark
"North Las Vegas, NV",North Las Vegas,Nevada,Clark
"Reno, NV",Reno,Nevada,Washoe
"Sparks, NV",Sparks,Nevada,Washoe
"Manchester, NH",Manchester,New Hampshire,Hillsborough County
"Nashua, NH",Nashua,New Hampshire,Hillsborough County
"Bayonne, NJ",Bayonne,New Jersey,Hudson
"Camden, NJ",Camden,New Jersey,Camden
"Clifton, NJ",Clifton,New Jersey,Passaic
"East Orange, NJ",East Orange,New Jersey,Essex
"Elizabeth, NJ",Elizabeth,New Jersey,Union County
"Hoboken, NJ",Hoboken,New Jersey,Hudson
"Jersey City, NJ",Jersey City,New Jersey,Hudson
"Newark, NJ",Newark,New Jersey,Essex
"New Brunswick, NJ",New Brunswick,New Jersey,Middlesex
"Passaic, NJ",Passaic,New Jersey,Passaic
"Paterson, NJ",Paterson,New Jersey,Passaic
"Perth Amboy, NJ",Perth Amboy,New Jersey,Middlesex
"Plainfield, NJ",Plainfield,New Jersey,Union County
"Trenton, NJ",Trenton,New Jersey,Mercer
"Union City, NJ",Union City,New Jersey,Hudson
"Vineland, NJ",Vineland,New Jersey,Cumberland
"Albuquerque, NM",Albuquerque,New Mexico,Bernalillo
"Las Cruces, NM",Las Cruces,New Mexico,Dona Ana County
"Rio Rancho, NM",Rio Rancho,New Mexico,Bernalillo
"Santa Fe, NM",Santa Fe,New Mexico,Santa Fe
"Albany, NY",Albany,New York,Albany
"Buffalo, NY",Buffalo,New York,Erie
"Mount Vernon, NY",Mount Vernon,New York,Westchester County
"New Rochelle, NY",New Rochelle,New York,Westchester County
"New York, NY",New York,#FIELD!,#FIELD!
"Rochester, NY",Rochester,New York,Monroe County
"Schenectady, NY",Schenectady,New York,Schenectady County
"Syracuse, NY",Syracuse,New York,Onondaga County
"Troy, NY",Troy,New York,Rensselaer
"Utica, NY",Utica,New York,Oneida
"White Plains, NY",White Plains,New York,Westchester County
"Yonkers, NY",Yonkers,New York,Westchester County
"Asheville, NC",Asheville,North Carolina,Buncombe County
"Burlington, NC",Burlington,North Carolina,Alamance
"Charlotte, NC",Charlotte,North Carolina,Mecklenburg
"Concord, NC",Concord,North Carolina,Cabarrus
"Durham, NC",Durham,North Carolina,Durham County
"Fayetteville, NC",Fayetteville,North Carolina,Cumberland
"Gastonia, NC",Gastonia,North Carolina,Gaston
"Greensboro, NC",Greensboro,North Carolina,Guilford
"Greenville, NC",Greenville,North Carolina,Pitt
"High Point, NC",High Point,North Carolina,Guilford
"Jacksonville, NC",Jacksonville,North Carolina,Onslow
"Kannapolis, NC",Kannapolis,North Carolina,Cabarrus
"Raleigh, NC",Raleigh,North Carolina,Wake County
"Rocky Mount, NC",Rocky Mount,North Carolina,Edgecombe
"Wilmington, NC",Wilmington,North Carolina,New Hanover
"Winston-Salem, NC",Winston-Salem,North Carolina,Forsyth
"Bismarck, ND",Bismarck,North Dakota,Burleigh
"Fargo, ND",Fargo,North Dakota,Cass
"Grand Forks, ND",Grand Forks,North Dakota,Grand Forks
"Akron, OH",Akron,Ohio,Summit
"Canton, OH",Canton,Ohio,Stark County
"Cincinnati, OH",Cincinnati,Ohio,Hamilton
"Cleveland, OH",Cleveland,Ohio,Cuyahoga
"Columbus, OH",Columbus,Ohio,Franklin
"Cuyahoga Falls, OH",Cuyahoga Falls,Ohio,Summit
"Dayton, OH",Dayton,Ohio,Montgomery
"Elyria, OH",Elyria,Ohio,Lorain
"Hamilton, OH",Hamilton,Ohio,Butler
"Kettering, OH",Kettering,Ohio,Montgomery
"Lakewood, OH",Lakewood,Ohio,Cuyahoga
"Lorain, OH",Lorain,Ohio,Lorain
"Middletown, OH",Middletown,Ohio,Butler
"Newark, OH",Newark,Ohio,Licking
"Parma, OH",Parma,Ohio,Cuyahoga
"Springfield, OH",Springfield,Ohio,Clark
"Toledo, OH",Toledo,Ohio,Lucas
"Youngstown, OH",Youngstown,Ohio,Mahoning
"Broken Arrow, OK",Broken Arrow,Oklahoma,Tulsa County
"Edmond, OK",Edmond,Oklahoma,Oklahoma
"Enid, OK",Enid,Oklahoma,Garfield
"Lawton, OK",Lawton,Oklahoma,Comanche
"Midwest City, OK",Midwest City,Oklahoma,Oklahoma
"Moore, OK",Moore,Oklahoma,Cleveland
"Norman, OK",Norman,Oklahoma,Cleveland
"Oklahoma City, OK",Oklahoma City,Oklahoma,Oklahoma
"Tulsa, OK",Tulsa,Oklahoma,Tulsa County
"Albany, OR",Albany,Oregon,Linn County
"Beaverton, OR",Beaverton,Oregon,Washington
"Bend, OR",Bend,Oregon,Deschutes
"Corvallis, OR",Corvallis,Oregon,Benton County
"Eugene, OR",Eugene,Oregon,Lane County
"Gresham, OR",Gresham,Oregon,Multnomah County
"Hillsboro, OR",Hillsboro,Oregon,Washington
"Medford, OR",Medford,Oregon,Jackson
"Portland, OR",Portland,Oregon,Multnomah County
"Salem, OR",Salem,Oregon,Polk
"Springfield, OR",Springfield,Oregon,Lane County
"Tigard, OR",Tigard,Oregon,Washington
"Allentown, PA",Allentown,Pennsylvania,Lehigh
"Bethlehem, PA",Bethlehem,Pennsylvania,Lehigh
"Erie, PA",Erie,Pennsylvania,Erie
"Harrisburg, PA",Harrisburg,Pennsylvania,Dauphin
"Lancaster, PA",Lancaster,Pennsylvania,Lancaster
"Philadelphia, PA",Philadelphia,Pennsylvania,Philadelphia
"Pittsburgh, PA",Pittsburgh,Pennsylvania,Allegheny
"Reading, PA",Reading,Pennsylvania,Berks
"Scranton, PA",Scranton,Pennsylvania,Lackawanna County
"Cranston, RI",Cranston,Rhode Island,Providence County
"Pawtucket, RI",Pawtucket,Rhode Island,Providence County
"Providence, RI",Providence,Rhode Island,Providence County
"Warwick, RI",Warwick,Rhode Island,Kent
"Charleston, SC",Charleston,South Carolina,Berkeley
"Columbia, SC",Columbia,South Carolina,Lexington
"Greenville, SC",Greenville,South Carolina,Greenville
"North Charleston, SC",North Charleston,South Carolina,Berkeley
"Rock Hill, SC",Rock Hill,South Carolina,York County
"Rapid City, SD",Rapid City,South Dakota,Pennington
"Sioux Falls, SD",Sioux Falls,South Dakota,Minnehaha
"Bartlett, TN",Bartlett,Tennessee,Shelby
"Chattanooga, TN",Chattanooga,Tennessee,Hamilton
"Clarksville, TN",Clarksville,Tennessee,Montgomery
"Franklin, TN",Franklin,Tennessee,Williamson
"Hendersonville, TN",Hendersonville,Tennessee,Sumner
"Jackson, TN",Jackson,Tennessee,Madison
"Johnson City, TN",Johnson City,Tennessee,Washington
"Kingsport, TN",Kingsport,Tennessee,Sullivan County
"Knoxville, TN",Knoxville,Tennessee,Knox County
"Memphis, TN",Memphis,Tennessee,Shelby
"Murfreesboro, TN",Murfreesboro,Tennessee,Rutherford County
"Spring Hill, TN",Spring Hill,Tennessee,Williamson
"Abilene, TX",Abilene,Texas,Taylor
"Allen, TX",Allen,Texas,Collin County
"Amarillo, TX",Amarillo,Texas,Potter
"Arlington, TX",Arlington,Texas,Tarrant
"Austin, TX",Austin,Texas,Travis
"Baytown, TX",Baytown,Texas,Harris
"Beaumont, TX",Beaumont,Texas,Jefferson
"Brownsville, TX",Brownsville,Texas,Cameron County
"Bryan, TX",Bryan,Texas,Brazos
"Burleson, TX",Burleson,Texas,Tarrant
"Carrollton, TX",Carrollton,Texas,Dallas
"Cedar Park, TX",Cedar Park,Texas,Williamson
"College Station, TX",College Station,Texas,Brazos
"Conroe, TX",Conroe,Texas,Montgomery
"Corpus Christi, TX",Corpus Christi,Texas,Nueces
"Dallas, TX",Dallas,Texas,Dallas
"Denton, TX",Denton,Texas,Denton County
"DeSoto, TX",DeSoto,Texas,Dallas
"Edinburg, TX",Edinburg,Texas,Hidalgo
"El Paso, TX",El Paso,Texas,El Paso
"Euless, TX",Euless,Texas,Tarrant
"Fort Worth, TX",Fort Worth,Texas,Tarrant
"Frisco, TX",Frisco,Texas,Collin County
"Galveston, TX",Galveston,Texas,Galveston
"Garland, TX",Garland,Texas,Dallas
"Georgetown, TX",Georgetown,Texas,Williamson
"Grand Prairie, TX",Grand Prairie,Texas,Tarrant
"Grapevine, TX",Grapevine,Texas,Dallas
"Harlingen, TX",Harlingen,Texas,Cameron County
"Houston, TX",Houston,Texas,Harris
"Irving, TX",Irving,Texas,Dallas
"Killeen, TX",Killeen,Texas,Bell
"Kyle, TX",Kyle,Texas,Hays
"Laredo, TX",Laredo,Texas,Webb County
"League City, TX",League City,Texas,Galveston
"Leander, TX",Leander,Texas,Williamson
"Lewisville, TX",Lewisville,Texas,Dallas
"Little Elm, TX",Little Elm,Texas,Denton County
"Longview, TX",Longview,Texas,Gregg County
"Lubbock, TX",Lubbock,Texas,Lubbock
"McAllen, TX",McAllen,Texas,Hidalgo
"McKinney, TX",McKinney,Texas,Collin County
"Mansfield, TX",Mansfield,Texas,Tarrant
"Mesquite, TX",Mesquite,Texas,Dallas
"Midland, TX",Midland,Texas,Midland
"Mission, TX",Mission,Texas,Hidalgo
"Missouri City, TX",Missouri City,Texas,Fort Bend
"New Braunfels, TX",New Braunfels,Texas,Comal County
"North Richland Hills, TX",North Richland Hills,Texas,Tarrant
"Odessa, TX",Odessa,Texas,Ector County
"Pasadena, TX",Pasadena,Texas,Harris
"Pearland, TX",Pearland,Texas,Brazoria
"Pflugerville, TX",Pflugerville,Texas,Travis
"Pharr, TX",Pharr,Texas,Hidalgo
"Plano, TX",Plano,Texas,Collin County
"Port Arthur, TX",Port Arthur,Texas,Jefferson
"Richardson, TX",Richardson,Texas,Dallas
"Round Rock, TX",Round Rock,Texas,Williamson
"Rowlett, TX",Rowlett,Texas,Dallas
"San Angelo, TX",San Angelo,Texas,Tom Green County
"San Antonio, TX",San Antonio,Texas,Bexar County
"San Marcos, TX",San Marcos,Texas,Caldwell County
"Sugar Land, TX",Sugar Land,Texas,Fort Bend
"Temple, TX",Temple,Texas,Bell
"Texas City, TX",Texas City,Texas,Galveston
"Tyler, TX",Tyler,Texas,Smith
"Victoria, TX",Victoria,Texas,Victoria
"Waco, TX",Waco,Texas,McLennan
"Wichita Falls, TX",Wichita Falls,Texas,Wichita
"Wylie, TX",Wylie,Texas,Dallas
"Draper, UT",Draper,Utah,Salt Lake
"Herriman, UT",Herriman,Utah,Salt Lake
"Layton, UT",Layton,Utah,Davis County
"Lehi, UT",Lehi,Utah,Utah
"Logan, UT",Logan,Utah,Cache
"Millcreek, UT",Millcreek,Utah,Salt Lake
"Ogden, UT",Ogden,Utah,Weber
"Orem, UT",Orem,Utah,Utah
"Provo, UT",Provo,Utah,Utah
"St. George, UT",St. George,Utah,Washington
"Salt Lake City, UT",Salt Lake City,Utah,Salt Lake
"Sandy, UT",Sandy,Utah,Salt Lake
"South Jordan, UT",South Jordan,Utah,Salt Lake
"Taylorsville, UT",Taylorsville,Utah,Salt Lake
"West Jordan, UT",West Jordan,Utah,Salt Lake
"West Valley City, UT",West Valley City,Utah,Salt Lake
"Alexandria, VA",Alexandria,Virginia,#FIELD!
"Chesapeake, VA",Chesapeake,Virginia,#FIELD!
"Hampton, VA",Hampton,Virginia,#FIELD!
"Harrisonburg, VA",Harrisonburg,Virginia,#FIELD!
"Lynchburg, VA",Lynchburg,Virginia,#FIELD!
"Newport News, VA",Newport News,Virginia,#FIELD!
"Norfolk, VA",Norfolk,Virginia,#FIELD!
"Portsmouth, VA",Portsmouth,Virginia,#FIELD!
"Richmond, VA",Richmond,Virginia,#FIELD!
"Roanoke, VA",Roanoke,Virginia,#FIELD!
"Suffolk, VA",Suffolk,Virginia,#FIELD!
"Virginia Beach, VA",Virginia Beach,Virginia,#FIELD!
"James City County, VA",James City,Virginia,#FIELD!
"Auburn, WA",Auburn,Washington,King
"Bellevue, WA",Bellevue,Washington,King
"Bellingham, WA",Bellingham,Washington,Whatcom
"Burien, WA",Burien,Washington,King
"Everett, WA",Everett,Washington,Snohomish
"Federal Way, WA",Federal Way,Washington,King
"Kennewick, WA",Kennewick,Washington,Benton
"Kent, WA",Kent,Washington,King
"Kirkland, WA",Kirkland,Washington,King
"Lacey, WA",Lacey,Washington,Thurston
"Lakewood, WA",Lakewood,Washington,Pierce
"Marysville, WA",Marysville,Washington,Snohomish
"Olympia, WA",Olympia,Washington,Thurston
"Pasco, WA",Pasco,Washington,Franklin
"Redmond, WA",Redmond,Washington,King
"Renton, WA",Renton,Washington,King
"Richland, WA",Richland,Washington,Benton
"Sammamish, WA",Sammamish,Washington,King
"Seattle, WA",Seattle,Washington,King
"Shoreline, WA",Shoreline,Washington,King
"Spokane, WA",Spokane,Washington,Spokane
"Spokane Valley, WA",Spokane Valley,Washington,Spokane
"Tacoma, WA",Tacoma,Washington,Pierce
"Vancouver, WA",Vancouver,Washington,Clark County
"Yakima, WA",Yakima,Washington,Yakima County
"Appleton, WI",Appleton,Wisconsin,Outagamie
"Eau Claire, WI",Eau Claire,Wisconsin,Eau Claire County
"Green Bay, WI",Green Bay,Wisconsin,Brown County
"Janesville, WI",Janesville,Wisconsin,Rock
"Kenosha, WI",Kenosha,Wisconsin,Kenosha
"La Crosse, WI",La Crosse,Wisconsin,La Crosse County
"Madison, WI",Madison,Wisconsin,Dane County
"Milwaukee, WI",Milwaukee,Wisconsin,Milwaukee
"Oshkosh, WI",Oshkosh,Wisconsin,Winnebago
"Racine, WI",Racine,Wisconsin,Racine
"Waukesha, WI",Waukesha,Wisconsin,Waukesha County
"West Allis, WI",West Allis,Wisconsin,Milwaukee
"Casper, WY",Casper,Wyoming,Natrona County
"Cheyenne, WY",Cheyenne,Wyoming,Laramie
