county_state,living_wage
"Autauga, Alabama",33357
"Baldwin, Alabama",34607
"Barbour, Alabama",30922
"Bibb, Alabama",36193
"Blount, Alabama",36193
"Bullock, Alabama",31627
"Butler, Alabama",30778
"Calhoun, Alabama",30826
"Chambers, Alabama",31659
"Cherokee, Alabama",30778
"Chilton, Alabama",32636
"Choctaw, Alabama",30778
"Clarke, Alabama",30778
"Clay, Alabama",30778
"Cleburne, Alabama",30778
"Coffee, Alabama",31467
"Colbert, Alabama",31515
"Conecuh, Alabama",30778
"Coosa, Alabama",31435
"Covington, Alabama",30778
"Crenshaw, Alabama",30778
"Cullman, Alabama",31018
"Dale, Alabama",31483
"Dallas, Alabama",30986
"DeKalb, Alabama",29801
"Elmore, Alabama",33357
"Escambia, Alabama",30778
"Etowah, Alabama",32028
"Fayette, Alabama",30778
"Franklin, Alabama",30778
"Geneva, Alabama",31803
"Greene, Alabama",30778
"Hale, Alabama",34174
"Henry, Alabama",30986
"Houston, Alabama",31803
"Jackson, Alabama",30458
"Jefferson, Alabama",36193
"Lamar, Alabama",30778
"Lauderdale, Alabama",31515
"Lawrence, Alabama",31259
"Lee, Alabama",32556
"Limestone, Alabama",32540
"Lowndes, Alabama",33357
"Macon, Alabama",31130
"Madison, Alabama",32540
"Marengo, Alabama",30778
"Marion, Alabama",30778
"Marshall, Alabama",31163
"Mobile, Alabama",33389
"Monroe, Alabama",30778
"Montgomery, Alabama",33357
"Morgan, Alabama",31259
"Perry, Alabama",30778
"Pickens, Alabama",30954
"Pike, Alabama",31275
"Randolph, Alabama",30778
"Russell, Alabama",33421
"Shelby, Alabama",36193
"St. Clair, Alabama",36193
"Sumter, Alabama",32476
"Talladega, Alabama",31275
"Tallapoosa, Alabama",30810
"Tuscaloosa, Alabama",34174
"Walker, Alabama",31851
"Washington, Alabama",30938
"Wilcox, Alabama",30778
"Winston, Alabama",30778
"Apache, Arizona",31350
"Cochise, Arizona",33375
"Coconino, Arizona",39074
"Gila, Arizona",34317
"Graham, Arizona",34302
"Greenlee, Arizona",30974
"La Paz, Arizona",33061
"Maricopa, Arizona",37614
"Mohave, Arizona",33093
"Navajo, Arizona",32182
"Pima, Arizona",32904
"Pinal, Arizona",37614
"Santa Cruz, Arizona",31711
"Yavapai, Arizona",33925
"Yuma, Arizona",33407
"Arkansas, Arkansas",31298
"Ashley, Arkansas",30860
"Baxter, Arkansas",31281
"Benton, Arkansas",32480
"Boone, Arkansas",30860
"Bradley, Arkansas",30860
"Calhoun, Arkansas",31816
"Carroll, Arkansas",30180
"Chicot, Arkansas",30860
"Clark, Arkansas",30261
"Clay, Arkansas",31087
"Cleburne, Arkansas",31427
"Cleveland, Arkansas",31881
"Columbia, Arkansas",31087
"Conway, Arkansas",30828
"Craighead, Arkansas",31767
"Crawford, Arkansas",32027
"Crittenden, Arkansas",34214
"Cross, Arkansas",31557
"Dallas, Arkansas",30860
"Desha, Arkansas",30860
"Drew, Arkansas",30860
"Faulkner, Arkansas",34473
"Franklin, Arkansas",30893
"Fulton, Arkansas",30860
"Garland, Arkansas",32318
"Grant, Arkansas",33128
"Greene, Arkansas",31330
"Hempstead, Arkansas",31184
"Hot Spring, Arkansas",31038
"Howard, Arkansas",30779
"Independence, Arkansas",30974
"Izard, Arkansas",30083
"Jackson, Arkansas",31136
"Jefferson, Arkansas",31881
"Johnson, Arkansas",31071
"Lafayette, Arkansas",30860
"Lawrence, Arkansas",30860
"Lee, Arkansas",30860
"Lincoln, Arkansas",31881
"Little River, Arkansas",31087
"Logan, Arkansas",30083
"Lonoke, Arkansas",34473
"Madison, Arkansas",32480
"Marion, Arkansas",30083
"Miller, Arkansas",33582
"Mississippi, Arkansas",30650
"Monroe, Arkansas",30860
"Montgomery, Arkansas",30860
"Nevada, Arkansas",32480
"Newton, Arkansas",30860
"Ouachita, Arkansas",32027
"Perry, Arkansas",34473
"Phillips, Arkansas",30083
"Pike, Arkansas",32189
"Poinsett, Arkansas",31087
"Polk, Arkansas",30083
"Pope, Arkansas",30990
"Prairie, Arkansas",30860
"Pulaski, Arkansas",34473
"Randolph, Arkansas",31087
"Saline, Arkansas",34473
"Scott, Arkansas",30860
"Searcy, Arkansas",30860
"Sebastian, Arkansas",32027
"Sevier, Arkansas",30860
"Sharp, Arkansas",30083
"St. Francis, Arkansas",31087
"Stone, Arkansas",30860
"Union, Arkansas",32415
"Van Buren, Arkansas",31395
"Washington, Arkansas",32480
"White, Arkansas",30585
"Woodruff, Arkansas",30860
"Yell, Arkansas",30893
"Alameda, California",50463
"Alpine, California",34204
"Amador, California",37605
"Butte, California",36713
"Calaveras, California",34124
"Colusa, California",33112
"Contra Costa, California",50463
"Del Norte, California",33476
"El Dorado, California",40524
"Fresno, California",36226
"Glenn, California",32684
"Humboldt, California",34488
"Imperial, California",33966
"Inyo, California",36485
"Kern, California",34378
"Kings, California",37832
"Lake, California",33950
"Lassen, California",32779
"Los Angeles, California",45536
"Madera, California",37524
"Marin, California",64090
"Mariposa, California",34568
"Mendocino, California",38059
"Merced, California",34219
"Modoc, California",31403
"Mono, California",37524
"Monterey, California",45196
"Napa, California",44920
"Nevada, California",37670
"Orange, California",51843
"Placer, California",40524
"Plumas, California",32542
"Riverside, California",38821
"Sacramento, California",40524
"San Benito, California",42795
"San Bernardino, California",38821
"San Diego, California",47304
"San Francisco, California",64090
"San Joaquin, California",37037
"San Luis Obispo, California",42244
"San Mateo, California",64090
"Santa Barbara, California",52675
"Santa Clara, California",60993
"Santa Cruz, California",57084
"Shasta, California",36372
"Sierra, California",36907
"Siskiyou, California",33222
"Solano, California",42633
"Sonoma, California",45066
"Stanislaus, California",37767
"Sutter, California",37524
"Tehama, California",33713
"Trinity, California",32051
"Tulare, California",34204
"Tuolumne, California",34251
"Ventura, California",43914
"Yolo, California",40930
"Yuba, California",37524
"Adams, Colorado",42241
"Alamosa, Colorado",33782
"Arapahoe, Colorado",42241
"Archuleta, Colorado",35869
"Baca, Colorado",33336
"Bent, Colorado",33845
"Boulder, Colorado",43834
"Broomfield, Colorado",42241
"Chaffee, Colorado",33033
"Cheyenne, Colorado",32268
"Clear Creek, Colorado",42241
"Conejos, Colorado",32969
"Costilla, Colorado",33479
"Crowley, Colorado",34275
"Custer, Colorado",33845
"Delta, Colorado",35231
"Denver, Colorado",42241
"Dolores, Colorado",33176
"Douglas, Colorado",42241
"Eagle, Colorado",41492
"Elbert, Colorado",42241
"El Paso, Colorado",36155
"Fremont, Colorado",34212
"Garfield, Colorado",38545
"Gilpin, Colorado",42241
"Grand, Colorado",35486
"Gunnison, Colorado",36522
"Hinsdale, Colorado",33065
"Huerfano, Colorado",34068
"Jackson, Colorado",36139
"Jefferson, Colorado",42241
"Kiowa, Colorado",33288
"Kit Carson, Colorado",33798
"Lake, Colorado",35343
"La Plata, Colorado",38832
"Larimer, Colorado",39453
"Las Animas, Colorado",32427
"Lincoln, Colorado",33813
"Logan, Colorado",34339
"Mesa, Colorado",34196
"Mineral, Colorado",36139
"Moffat, Colorado",33973
"Montezuma, Colorado",34355
"Montrose, Colorado",34307
"Morgan, Colorado",33128
"Otero, Colorado",33447
"Ouray, Colorado",39772
"Park, Colorado",42241
"Phillips, Colorado",33176
"Pitkin, Colorado",41445
"Prowers, Colorado",33383
"Pueblo, Colorado",33511
"Rio Blanco, Colorado",34275
"Rio Grande, Colorado",33112
"Routt, Colorado",40218
"Saguache, Colorado",32603
"San Juan, Colorado",36139
"San Miguel, Colorado",39135
"Sedgwick, Colorado",33415
"Summit, Colorado",42576
"Teller, Colorado",35582
"Washington, Colorado",34594
"Weld, Colorado",36633
"Yuma, Colorado",33479
"Fairfield, Connecticut",42298
"Hartford, Connecticut",38348
"Litchfield, Connecticut",37019
"Middlesex, Connecticut",39085
"New Haven, Connecticut",39591
"New London, Connecticut",37138
"Tolland, Connecticut",38348
"Windham, Connecticut",37179
"Kent, Delaware",37586
"New Castle, Delaware",37940
"Sussex, Delaware",33763
"Alachua, Florida",34069
"Baker, Florida",29920
"Bay, Florida",34824
"Bradford, Florida",31535
"Brevard, Florida",33375
"Broward, Florida",37902
"Calhoun, Florida",31414
"Charlotte, Florida",33979
"Citrus, Florida",31866
"Clay, Florida",33179
"Collier, Florida",36227
"Columbia, Florida",31489
"DeSoto, Florida",31308
"Dixie, Florida",31414
"Duval, Florida",33179
"Escambia, Florida",33632
"Flagler, Florida",33300
"Franklin, Florida",31655
"Gadsden, Florida",33662
"Gilchrist, Florida",34069
"Glades, Florida",32078
"Gulf, Florida",33375
"Hamilton, Florida",30267
"Hardee, Florida",30448
"Hendry, Florida",31414
"Hernando, Florida",36846
"Highlands, Florida",30599
"Hillsborough, Florida",36846
"Holmes, Florida",30267
"Indian River, Florida",32470
"Jackson, Florida",29226
"Jefferson, Florida",33662
"Lafayette, Florida",32274
"Lake, Florida",37842
"Lee, Florida",35971
"Leon, Florida",33662
"Levy, Florida",30267
"Liberty, Florida",31414
"Madison, Florida",31414
"Manatee, Florida",34613
"Marion, Florida",32364
"Martin, Florida",35895
"Miami-Dade, Florida",37872
"Monroe, Florida",41554
"Nassau, Florida",33179
"Okaloosa, Florida",36665
"Okeechobee, Florida",31655
"Orange, Florida",37842
"Osceola, Florida",37842
"Palm Beach, Florida",36755
"Pasco, Florida",36846
"Pinellas, Florida",36846
"Polk, Florida",33903
"Putnam, Florida",31323
"Santa Rosa, Florida",33632
"Sarasota, Florida",34613
"Seminole, Florida",37842
"St. Johns, Florida",33179
"St. Lucie, Florida",35895
"Sumter, Florida",32727
"Suwannee, Florida",31414
"Taylor, Florida",31414
"Union, Florida",31414
"Volusia, Florida",32379
"Wakulla, Florida",32153
"Walton, Florida",33873
"Washington, Florida",30267
"Appling, Georgia",31332
"Atkinson, Georgia",31025
"Bacon, Georgia",31979
"Baker, Georgia",33224
"Baldwin, Georgia",32803
"Banks, Georgia",32609
"Barrow, Georgia",39562
"Bartow, Georgia",39562
"Ben Hill, Georgia",31979
"Berrien, Georgia",31122
"Bibb, Georgia",31574
"Bleckley, Georgia",31332
"Brantley, Georgia",34129
"Brooks, Georgia",32642
"Bryan, Georgia",37315
"Bulloch, Georgia",32803
"Burke, Georgia",33418
"Butts, Georgia",33693
"Calhoun, Georgia",31025
"Camden, Georgia",34113
"Candler, Georgia",31332
"Carroll, Georgia",39562
"Catoosa, Georgia",33418
"Charlton, Georgia",31979
"Chatham, Georgia",37315
"Chattahoochee, Georgia",33547
"Chattooga, Georgia",31025
"Cherokee, Georgia",39562
"Clarke, Georgia",33854
"Clay, Georgia",31332
"Clayton, Georgia",39562
"Clinch, Georgia",31332
"Cobb, Georgia",39562
"Coffee, Georgia",31979
"Colquitt, Georgia",31461
"Columbia, Georgia",33418
"Cook, Georgia",31591
"Coweta, Georgia",39562
"Crawford, Georgia",31574
"Crisp, Georgia",31979
"Dade, Georgia",33418
"Dawson, Georgia",39562
"Decatur, Georgia",31283
"DeKalb, Georgia",39562
"Dodge, Georgia",31025
"Dooly, Georgia",31979
"Dougherty, Georgia",33224
"Douglas, Georgia",39562
"Early, Georgia",30976
"Echols, Georgia",32642
"Effingham, Georgia",37315
"Elbert, Georgia",31025
"Emanuel, Georgia",31025
"Evans, Georgia",31025
"Fannin, Georgia",32593
"Fayette, Georgia",39562
"Floyd, Georgia",33208
"Forsyth, Georgia",39562
"Franklin, Georgia",30054
"Fulton, Georgia",39562
"Gilmer, Georgia",32205
"Glascock, Georgia",31979
"Glynn, Georgia",34129
"Gordon, Georgia",31752
"Grady, Georgia",31316
"Greene, Georgia",31849
"Gwinnett, Georgia",39562
"Habersham, Georgia",30443
"Hall, Georgia",35439
"Hancock, Georgia",31332
"Haralson, Georgia",33693
"Harris, Georgia",33547
"Hart, Georgia",31639
"Heard, Georgia",39562
"Henry, Georgia",39562
"Houston, Georgia",34776
"Irwin, Georgia",31332
"Jackson, Georgia",32431
"Jasper, Georgia",39562
"Jeff Davis, Georgia",31332
"Jefferson, Georgia",31025
"Jenkins, Georgia",31332
"Johnson, Georgia",31979
"Jones, Georgia",31574
"Lamar, Georgia",33434
"Lanier, Georgia",32642
"Laurens, Georgia",31639
"Lee, Georgia",33224
"Liberty, Georgia",36118
"Lincoln, Georgia",31671
"Long, Georgia",32545
"Lowndes, Georgia",32642
"Lumpkin, Georgia",33418
"Macon, Georgia",31477
"Madison, Georgia",33854
"Marion, Georgia",33547
"McDuffie, Georgia",33418
"McIntosh, Georgia",34129
"Meriwether, Georgia",32916
"Miller, Georgia",32819
"Mitchell, Georgia",31979
"Monroe, Georgia",31106
"Montgomery, Georgia",31979
"Morgan, Georgia",34550
"Murray, Georgia",31526
"Muscogee, Georgia",33547
"Newton, Georgia",39562
"Oconee, Georgia",33854
"Oglethorpe, Georgia",33854
"Paulding, Georgia",39562
"Peach, Georgia",30960
"Pickens, Georgia",39562
"Pierce, Georgia",31914
"Pike, Georgia",39562
"Polk, Georgia",31898
"Pulaski, Georgia",31380
"Putnam, Georgia",33628
"Quitman, Georgia",31332
"Rabun, Georgia",31542
"Randolph, Georgia",31025
"Richmond, Georgia",33418
"Rockdale, Georgia",39562
"Schley, Georgia",31025
"Screven, Georgia",31025
"Seminole, Georgia",30928
"Spalding, Georgia",39562
"Stephens, Georgia",31025
"Stewart, Georgia",31025
"Sumter, Georgia",31671
"Talbot, Georgia",31413
"Taliaferro, Georgia",31332
"Tattnall, Georgia",31979
"Taylor, Georgia",30054
"Telfair, Georgia",30054
"Terrell, Georgia",33224
"Thomas, Georgia",32739
"Tift, Georgia",31332
"Toombs, Georgia",31025
"Towns, Georgia",32561
"Treutlen, Georgia",31332
"Troup, Georgia",32819
"Turner, Georgia",31332
"Twiggs, Georgia",31574
"Union, Georgia",31332
"Upson, Georgia",30297
"Walker, Georgia",33418
"Walton, Georgia",39562
"Ware, Georgia",31089
"Warren, Georgia",31025
"Washington, Georgia",31979
"Wayne, Georgia",31025
"Webster, Georgia",31332
"Wheeler, Georgia",31332
"White, Georgia",32528
"Whitfield, Georgia",31720
"Wilcox, Georgia",31332
"Wilkes, Georgia",31348
"Wilkinson, Georgia",31057
"Worth, Georgia",33224
"Hawaii, Hawaii",39486
"Honolulu, Hawaii",47195
"Kalawao, Hawaii",45334
"Kauai, Hawaii",44238
"Maui, Hawaii",45334
"Ada, Idaho",34508
"Adams, Idaho",32452
"Bannock, Idaho",31783
"Bear Lake, Idaho",32387
"Benewah, Idaho",32272
"Bingham, Idaho",32615
"Blaine, Idaho",34835
"Boise, Idaho",34508
"Bonner, Idaho",33839
"Bonneville, Idaho",32142
"Boundary, Idaho",32387
"Butte, Idaho",31864
"Camas, Idaho",32452
"Canyon, Idaho",34508
"Caribou, Idaho",32387
"Cassia, Idaho",32533
"Clark, Idaho",33105
"Clearwater, Idaho",33203
"Custer, Idaho",32729
"Elmore, Idaho",33415
"Franklin, Idaho",31783
"Fremont, Idaho",32664
"Gem, Idaho",33382
"Gooding, Idaho",32664
"Idaho, Idaho",32925
"Jefferson, Idaho",32142
"Jerome, Idaho",32615
"Kootenai, Idaho",34443
"Latah, Idaho",32027
"Lemhi, Idaho",33186
"Lewis, Idaho",32452
"Lincoln, Idaho",33627
"Madison, Idaho",34557
"Minidoka, Idaho",32452
"Nez Perce, Idaho",32892
"Oneida, Idaho",33823
"Owyhee, Idaho",34508
"Payette, Idaho",33203
"Power, Idaho",33382
"Shoshone, Idaho",32697
"Teton, Idaho",34965
"Twin Falls, Idaho",32550
"Valley, Idaho",33186
"Washington, Idaho",31391
"Adams, Illinois",32902
"Alexander, Illinois",32518
"Bond, Illinois",33222
"Boone, Illinois",32358
"Brown, Illinois",33703
"Bureau, Illinois",31733
"Calhoun, Illinois",34663
"Carroll, Illinois",31541
"Cass, Illinois",31541
"Champaign, Illinois",35672
"Christian, Illinois",32054
"Clark, Illinois",31813
"Clay, Illinois",31541
"Clinton, Illinois",34663
"Coles, Illinois",31637
"Cook, Illinois",40123
"Crawford, Illinois",31541
"Cumberland, Illinois",31541
"DeKalb, Illinois",35208
"De Witt, Illinois",32006
"Douglas, Illinois",32806
"DuPage, Illinois",40123
"Edgar, Illinois",31541
"Edwards, Illinois",31541
"Effingham, Illinois",32534
"Fayette, Illinois",31893
"Ford, Illinois",35672
"Franklin, Illinois",31509
"Fulton, Illinois",32934
"Gallatin, Illinois",31541
"Greene, Illinois",31541
"Grundy, Illinois",38121
"Hamilton, Illinois",31541
"Hancock, Illinois",31541
"Hardin, Illinois",31541
"Henderson, Illinois",31493
"Henry, Illinois",32198
"Iroquois, Illinois",32374
"Jackson, Illinois",31925
"Jasper, Illinois",31541
"Jefferson, Illinois",31958
"Jersey, Illinois",34663
"Jo Daviess, Illinois",32422
"Johnson, Illinois",31317
"Kane, Illinois",40123
"Kankakee, Illinois",34167
"Kendall, Illinois",39402
"Knox, Illinois",31317
"Lake, Illinois",40123
"La Salle, Illinois",32966
"Lawrence, Illinois",31541
"Lee, Illinois",31765
"Livingston, Illinois",31605
"Logan, Illinois",31637
"Macon, Illinois",32070
"Macoupin, Illinois",32502
"Madison, Illinois",34663
"Marion, Illinois",31317
"Marshall, Illinois",34023
"Mason, Illinois",31557
"Massac, Illinois",32358
"McDonough, Illinois",33078
"McHenry, Illinois",40123
"McLean, Illinois",33575
"Menard, Illinois",33142
"Mercer, Illinois",32198
"Monroe, Illinois",34663
"Montgomery, Illinois",32438
"Morgan, Illinois",31541
"Moultrie, Illinois",32230
"Ogle, Illinois",32614
"Peoria, Illinois",34023
"Perry, Illinois",31541
"Piatt, Illinois",35672
"Pike, Illinois",32374
"Pope, Illinois",31541
"Pulaski, Illinois",33526
"Putnam, Illinois",31797
"Randolph, Illinois",31349
"Richland, Illinois",33286
"Rock Island, Illinois",32198
"Saline, Illinois",31541
"Sangamon, Illinois",33142
"Schuyler, Illinois",31541
"Scott, Illinois",31541
"Shelby, Illinois",31541
"Stark, Illinois",34023
"St. Clair, Illinois",34663
"Stephenson, Illinois",31685
"Tazewell, Illinois",34023
"Union, Illinois",31317
"Vermilion, Illinois",32310
"Wabash, Illinois",31813
"Warren, Illinois",31317
"Washington, Illinois",33110
"Wayne, Illinois",31541
"White, Illinois",31317
"Whiteside, Illinois",31845
"Will, Illinois",40123
"Williamson, Illinois",33110
"Winnebago, Illinois",32358
"Woodford, Illinois",34023
"Adams, Indiana",31411
"Allen, Indiana",31630
"Bartholomew, Indiana",35299
"Benton, Indiana",33621
"Blackford, Indiana",31411
"Boone, Indiana",34013
"Brown, Indiana",34013
"Carroll, Indiana",32022
"Cass, Indiana",32007
"Clark, Indiana",33559
"Clay, Indiana",31944
"Clinton, Indiana",31474
"Crawford, Indiana",31411
"Daviess, Indiana",31693
"Dearborn, Indiana",32853
"Decatur, Indiana",32759
"DeKalb, Indiana",31646
"Delaware, Indiana",32195
"Dubois, Indiana",31411
"Elkhart, Indiana",31928
"Fayette, Indiana",31568
"Floyd, Indiana",33559
"Fountain, Indiana",31411
"Franklin, Indiana",31207
"Fulton, Indiana",31411
"Gibson, Indiana",32900
"Grant, Indiana",32383
"Greene, Indiana",31286
"Hamilton, Indiana",34013
"Hancock, Indiana",34013
"Harrison, Indiana",33559
"Hendricks, Indiana",34013
"Henry, Indiana",31066
"Howard, Indiana",32414
"Huntington, Indiana",31192
"Jackson, Indiana",32148
"Jasper, Indiana",34045
"Jay, Indiana",31411
"Jefferson, Indiana",32932
"Jennings, Indiana",32305
"Johnson, Indiana",34013
"Knox, Indiana",32587
"Kosciusko, Indiana",32305
"LaGrange, Indiana",31411
"Lake, Indiana",32932
"LaPorte, Indiana",31301
"Lawrence, Indiana",31333
"Madison, Indiana",32132
"Marion, Indiana",34013
"Marshall, Indiana",31411
"Martin, Indiana",31411
"Miami, Indiana",31411
"Monroe, Indiana",34060
"Montgomery, Indiana",31333
"Morgan, Indiana",34013
"Newton, Indiana",32932
"Noble, Indiana",31803
"Ohio, Indiana",32853
"Orange, Indiana",31411
"Owen, Indiana",32446
"Parke, Indiana",31881
"Perry, Indiana",31411
"Pike, Indiana",31411
"Porter, Indiana",32932
"Posey, Indiana",32744
"Pulaski, Indiana",31411
"Putnam, Indiana",32352
"Randolph, Indiana",31411
"Ripley, Indiana",31113
"Rush, Indiana",31254
"Scott, Indiana",32791
"Shelby, Indiana",34013
"Spencer, Indiana",30956
"Starke, Indiana",31411
"Steuben, Indiana",32697
"St. Joseph, Indiana",33041
"Sullivan, Indiana",31928
"Switzerland, Indiana",30956
"Tippecanoe, Indiana",33621
"Tipton, Indiana",32446
"Union, Indiana",31144
"Vanderburgh, Indiana",32744
"Vermillion, Indiana",31944
"Vigo, Indiana",31944
"Wabash, Indiana",31536
"Warren, Indiana",31411
"Warrick, Indiana",32744
"Washington, Indiana",31489
"Wayne, Indiana",30956
"Wells, Indiana",31630
"White, Indiana",31630
"Whitley, Indiana",31630
"Adair, Iowa",32700
"Adams, Iowa",32895
"Allamakee, Iowa",32700
"Appanoose, Iowa",32700
"Audubon, Iowa",32700
"Benton, Iowa",31938
"Black Hawk, Iowa",34007
"Boone, Iowa",33681
"Bremer, Iowa",33041
"Buchanan, Iowa",32554
"Buena Vista, Iowa",31938
"Butler, Iowa",32700
"Calhoun, Iowa",32700
"Carroll, Iowa",32700
"Cass, Iowa",32700
